,lat,lon,elevation,species,d18o,d18o_anom,geometry,ocean_temp_anom,year
214,-28.4617,113.7683,-5,Porites lutea,-3.843211598,0.03219514409000057,POINT (113.7683 -28.4617),-0.17,1885
215,-23.142967,43.583067,-1.1,Porites sp.,-4.647083083,-0.2153015101104483,POINT (43.583067 -23.142967),-0.17,1885
216,-28.4617,113.7683,-5,Porites lutea,-3.8631360779166664,0.012093701122913192,POINT (113.7683 -28.4617),-0.17,1885
217,-12.65,45.1,,Porites solida,-4.805166666666667,0.07959237726098234,POINT (45.1 -12.65),-0.17,1885
218,-4.616167,55.0,-7,Porites lutea,-4.704916666666667,0.012741111111110648,POINT (55 -4.616167),-0.17,1885
219,-3.0,40.0,-6,Porites lutea,-4.379,0.011969072164948358,POINT (40 -3),-0.17,1885
220,-21.03,55.25,-12.3,Porites sp.,-4.241666666666666,0.03344918699187005,POINT (55.25 -21.03),-0.17,1885
221,-21.905,113.965,-3,Porites lutea,-4.203333333333333,0.31298850574712667,POINT (113.965 -21.905),-0.17,1885
222,17.93457,67.00123,-5,Montastraea faviolata,-4.17,0.04359683794466385,POINT (67.00123000000001 17.93457),-0.17,1885
223,17.53,-77.97,-125,Ceratoporella nicholsoni,-0.42,-0.03677966101694907,POINT (-77.97 17.53),-0.17,1885
224,27.85,34.32,-6,Porites sp.,-3.47,-0.0646311475409842,POINT (34.32 27.85),-0.17,1885
225,29.42,34.97,-4.5,Porites sp.,-2.75,-0.026487804878048582,POINT (34.97 29.42),-0.17,1885
226,27.85,34.32,-6,Porites sp.,-3.465,-0.06013945578231272,POINT (34.32 27.85),-0.17,1885
227,-14.27,-169.55,,Porites sp.,-5.058837609,-0.3005228353651024,POINT (-169.55 -14.27),-0.17,1885
228,-15.0,167.0,,Platygyra lamellina,-5.06,-0.1093678160919529,POINT (167 -15),-0.17,1885
229,-16.82,179.23,-10,Porites sp.,-4.37,0.17345454545454508,POINT (179.23 -16.82),-0.17,1885
230,-8.25,115.5,-3,Porites sp.,-4.812508333333334,0.18774824561403491,POINT (115.5 -8.25),-0.17,1885
231,15.94,166.04,8,Porites lutea,-4.608333333333333,0.20082178714859467,POINT (166.04 15.94),-0.17,1885
232,27.106,142.194,-5.6,Porites sp.,-4.05,0.273196721311475,POINT (142.194 27.106),-0.17,1885
233,-16.82,179.23,-10,Porites sp.,-4.78,0.15462962962963012,POINT (179.23 -16.82),-0.17,1885
234,7.2859,134.2503,,Porites lutea,-5.399426534916667,0.17050595157561688,POINT (134.2503 7.2859),-0.17,1885
